Skefull,5,4,Migga,Round of Sixteen,1,Squatman99,Skefull,Drummerocking,Morgan_Ladimore,5
Cake_Squid,5,3,Kleboldstec9,Round of Sixteen,1,Saber Spleef Cup,,,,
Morgan_Ladimore,5,1,ChillingNKilling,Round of Sixteen,1,,,,,
alfi3003,5,3,zeldabjorn,Round of Sixteen,1,,,,,
Siegessch,5,1,Triffuny,Round of Sixteen,1,,,,,
Wezaz,5,2,Ultramegazord,Round of Sixteen,1,,,,,
Drummerocking,5,0,Kenly,Round of Sixteen,1,,,,,
Nost,5,2,Chuggins,Round of Sixteen,1,,,,,
SpeedSpectre,5,3,Neji,Round of Sixteen,1,,,,,
MrPengi,5,3,Jakubusso,Round of Sixteen,1,,,,,
Squatman99,5,3,Jasco,Round of Sixteen,1,,,,,
Jugernugget,5,2,JoelSpanish,Round of Sixteen,1,,,,,
Skefull,5,0,SheriffCy,Eighth Finals,2,,,,,
Cake_Squid,5,3,ShadowFlames,Eighth Finals,2,,,,,
Morgan_Ladimore,5,4,alfi3003,Eighth Finals,2,,,,,
Siegessch,5,4,Wezaz,Eighth Finals,2,,,,,
Drummerocking,5,4,bluecar63,Eighth Finals,2,,,,,
Nost,5,2,Dawthon,Eighth Finals,2,,,,,
MrPengi,5,4,SpeedSpectre,Eighth Finals,2,,,,,
Squatman99,5,3,Jugernugget,Eighth Finals,2,,,,,
Skefull,5,2,Cake_Squid,Quarter Finals,3,,,,,
Morgan_Ladimore,5,3,Siegessch,Quarter Finals,3,,,,,
Drummerocking,5,2,Nost,Quarter Finals,3,,,,,
Squatman99,5,3,MrPengi,Quarter Finals,3,,,,,
Skefull,5,3,Morgan_Ladimore,Semifinals,4,,,,,
Squatman99,5,3,Drummerocking,Semifinals,4,,,,,
Squatman99,5,0,Skefull,Final,5,,,,,
