blazerdx,5,3,spleefmeneer,Sixteenth Finals,1,Drummerocking,SaberTTiger,Veirra,Squatman99,5
Morgan_Ladimore,5,1,scrattyaa,Sixteenth Finals,1,Summer Tournament 2016,,,,
Veirra,5,2,Sanne_Chan,Sixteenth Finals,1,,,,,
Siegessch,5,4,Tucoz,Sixteenth Finals,1,,,,,
SaberTTiger,5,3,TerrySP,Sixteenth Finals,1,,,,,
Felxon_,5,2,MoomootheKitty,Sixteenth Finals,1,,,,,
Preloa,5,2,Onespoone,Sixteenth Finals,1,,,,,
NexByte,5,1,LaggerForever,Sixteenth Finals,1,,,,,
Squatman99,5,0,Neil_,Sixteenth Finals,1,,,,,
Cake_Squid,5,3,Vexillologe,Sixteenth Finals,1,,,,,
Neji,5,2,DaCookieMonsta21,Sixteenth Finals,1,,,,,
Jugernugget,5,0,Carpy,Sixteenth Finals,1,,,,,
SantiPingui58,5,1,Jasco,Sixteenth Finals,1,,,,,
Migga,5,2,zeldabjorn,Sixteenth Finals,1,,,,,
Drummerocking,5,3,alfi3003,Sixteenth Finals,1,,,,,
iMincraft,5,3,Foofa,Sixteenth Finals,1,,,,,
Morgan_Ladimore,5,3,blazerdx,Eighth Finals,2,,,,,
Veirra,5,0,Siegessch,Eighth Finals,2,,,,,
SaberTTiger,5,2,Felxon_,Eighth Finals,2,,,,,
NexByte,5,3,Preloa,Eighth Finals,2,,,,,
Squatman99,5,0,Cake_Squid,Eighth Finals,2,,,,,
Jugernugget,5,3,Neji,Eighth Finals,2,,,,,
SantiPingui58,5,2,Migga,Eighth Finals,2,,,,,
Drummerocking,5,3,iMincraft,Eighth Finals,2,,,,,
Veirra,5,1,Morgan_Ladimore,Quarter Finals,3,,,,,
SaberTTiger,5,2,NexByte,Quarter Finals,3,,,,,
Squatman99,5,4,Jugernugget,Quarter Finals,3,,,,,
Drummerocking,5,2,SantiPingui58,Quarter Finals,3,,,,,
SaberTTiger,5,3,Veirra,Semifinals,4,,,,,
Drummerocking,5,3,Squatman99,Semifinals,4,,,,,
Drummerocking,5,4,SaberTTiger,Final,5,,,,,
